what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299181327370
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299181333899
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299181338064
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299181338077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181338596
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299181344051
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299181344052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181344461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181345886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181355783
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299181355804
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299181356049
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299181359741
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299181365614
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1299181367956
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1299181367960
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1299181367979
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1299181367981
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1299181371314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181371680
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1299181371877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181372382
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1299181375323
started,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1299181375394
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299181383646
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299181384976
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299181385004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181385603
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299181389935
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299181389938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181390190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181391050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181437950
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299181437964
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299181438247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299181448531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299181450975
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299181701720
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299181703087
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299181703116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181703701
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299181709223
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299181709225
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181730355
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299181731432
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299181742886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299181755317
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1299181756909
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1299181757889
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 1 AgendaEAR",1299181757915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181758405
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=0 2 AgendaEAR",1299181762418
error,log,,,"GlassFish: publishModule kind= 1  deltaKind=2 2 AgendaEAR",1299181762424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181762707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181764295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299181840746
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1299181844005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299181854008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299181855774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299181857275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299181858855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299181864857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1299181873942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299181878999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299181917220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299181919961
